id,sentence1,sentence2,label
10,یہ استثناء 2005 اور 2009 کے آخر میں اس وقت تھا جب اس نے سویڈن میں کارلسٹاڈ یونائیٹڈ بی کے ، سربیا کے ساتھ ایف کے بورک آیاک اور روسی ایف سی ٹیرک گروزنی کے ساتھ کھیلا۔,یہ استثناء 2005 اور 2009 کے آخر میں تھا ، جب اس نے سویڈن میں کارلسٹاڈ یونائیٹڈ بی کے ، سربیا کے ساتھ ایف کے بورک آیاک اور روسی ایف سی ٹیرک گروزنی کے ساتھ کھیلا۔,1
12,دریائے تباکی رومانیہ میں دریائے لورڈا کی ایک آبدھی ہے۔,دریائے لوراڈا رومانیہ میں دریائے تباسی کی ایک معاون ہے۔,0
20,انہوں نے 1993 میں اے لیول کین کاؤنٹی کوگرس اور اے اے پورٹلینڈ سی ڈاگس کے ساتھ کھیلا۔,انہوں نے 1993 میں اے - لیول پورٹلینڈ سی ڈاگس اور اے اے کین کاؤنٹی کوگرس کے ساتھ کھیلا۔,0
26,ونرسکی آئی ای ای ای ، پھی بیٹا کاپا ، اے سی ایم اور سگما الیون کا ممبر ہے۔,ونرسکی ACM ، IEEE ، Phi Beta Kappa اور سگما الیون کا ممبر ہے۔,1
27,1938 میں وہ اینگلو-مصری سوڈان کے سرکاری ماہر بشریات بن گئے اور نوبا کے ساتھ فیلڈ ورک کی قیادت کی۔,1938 میں وہ مصری-انگلو سوڈان کے سرکاری ماہر بشریات بن گئے اور نوبا کے ساتھ فیلڈ ورک کیا۔,0
28,بلی بلی بیٹسن `` بلیک ایڈم '' کے پہلے چار ایشوز میں نمودار ہوئے ، جو 2008 کے آخر اور 2009 کے اوائل کے درمیان شائع ہوئے۔,بلیک ایڈم `` بلی بیٹسن '' کے پہلے چار ایشوز میں نمودار ہوا ، جو 2008 کے آخر اور 2009 کے اوائل کے درمیان شائع ہوا تھا۔,0
32,اس ضرورت کے لئے شمسی نقطہ نظر روایتی طاقت سے چلنے والے طیارے میں شمسی پینل کا استعمال ہے۔,اس ضرورت کے لئے شمسی نقطہ نظر روایتی طور پر چلنے والے طیارے میں شمسی پینل کا استعمال ہے۔,1
35,پولیس نے جاری تحقیقات کے ایک حصے کے طور پر گلوکار رمی ٹومی اور اداکار کاویہ مادھاون ، دونوں صدیق کے قریبی دوست اور ان کی اہلیہ دلیپ سے بھی پوچھ گچھ کی۔,پولیس نے جاری تفتیش کے ایک حصے کے طور پر گلوکار رمی ٹومی اور اداکار کاویہ مادھاون سے بھی پوچھ گچھ کی۔,1
36,وہ ویرل رواں آرکیسٹرل میوزک کے ساتھ ملتے ہیں اور مبہم ، تقریبا جان بوجھ کر بے رنگ آوازوں پر مشتمل ہوتے ہیں۔,وہ رنگ سے پاک ، براہ راست کھیلے ہوئے موسیقی سے ملتے ہیں اور مبہم ، تقریبا جان بوجھ کر ویرل آرکیسٹرل آوازوں پر مشتمل ہوتے ہیں۔,0
38,ہولی موسیقی کے لحاظ سے ایلٹن جان سے متاثر تھا۔,ہولی ہولی کو ایلٹن جان نے موسیقی سے متاثر کیا۔,1
