id,sentence1,sentence2,label
10,"Isipokuwa kati ya mwishoni mwa 2005 na 2009 wakati alipocheza huko Sweden na Carlstad United BK, Serbia na FK Borac čačak na Urusi FC Terek Grozny.","Isipokuwa kati ya mwishoni mwa 2005 na 2009, wakati alipocheza huko Sweden na Carlstad United BK, Serbia na FK Borac čačak na FC Terek Grozny.",1
12,Mto wa Tabaci ni huduma ya mto Leurda huko Romania.,Mto wa Leurda ni kijeshi cha mto Tabaci huko Romania.,0
20,Alicheza na Cougars ya Kaunti ya A-Level Kane mnamo 1993 na mbwa wa Bahari ya AA Portland.,Alicheza mnamo 1993 na Mbwa wa Bahari ya A -Level Portland na Cougars ya Kaunti ya AA Kane.,0
26,"Winarsky ni mwanachama wa IEEE, Phi Beta Kappa, ACM na Sigma XI.","Winarsky ni mwanachama wa ACM, IEEE, Phi Beta Kappa na Sigma XI.",1
27,Mnamo mwaka wa 1938 alikua mtaalam wa serikali ya Anglo-Egypt Sudani na aliongoza kazi ya uwanja na Nuba.,Mnamo mwaka wa 1938 alikua mtaalam wa serikali ya Wamisri-Anglo Sudan na alifanya kazi ya uwanja na Nuba.,0
28,"Billy Billy Batson alionekana katika maswala manne ya kwanza ya `` Black Adam '', yaliyochapishwa kati ya mwishoni mwa 2008 na mapema 2009.","Black Adamu alionekana katika maswala manne ya kwanza ya `` Billy Batson '', yaliyochapishwa kati ya mwishoni mwa 2008 na mapema 2009.",0
32,Njia ya jua kwa hitaji hili ni matumizi ya paneli za jua katika ndege ya kawaida yenye nguvu.,Njia ya jua kwa hitaji hili ni matumizi ya paneli za jua katika ndege yenye nguvu ya kusanyiko.,1
35,"Polisi pia walihoji mwimbaji Rimi Tomy na muigizaji Kavya Madhavan, marafiki wa karibu wa Siddique na mkewe Dileep, kama sehemu ya uchunguzi unaoendelea.","Polisi pia walihoji mwimbaji Rimi Tomy na muigizaji Kavya Madhavan, marafiki wa karibu wa Siddique na mkewe Dileep, kama sehemu ya uchunguzi unaoendelea.",1
36,"Zimefunikwa na muziki wa orchestral wa sparse na huwa na sauti zisizo wazi, karibu na rangi zisizo na rangi.","Zimefunikwa na muziki usio na rangi, muziki uliochezwa moja kwa moja na unakuwa na sauti zisizo wazi, karibu na sauti za orchestral za makusudi.",0
38,Holly alishawishiwa kimuziki na Elton John.,Holly Holly alishawishiwa kimuziki na Elton John.,1
39,Timu ilijibu mabadiliko katika mchezo uliofuata jioni hiyo hiyo mnamo 19 Februari.,Timu ilijibu mabadiliko katika mchezo huo huo ambao ujao wa Februari 19.,0
40,"Nashua Silver Knights, sehemu ya ligi ya sasa ya majira ya joto, ni timu ya pamoja ya jiji.","Nashua Silver Knights, sehemu ya Ligi ya Collegiate ya majira ya joto, ni timu ya sasa ya jiji.",0
48,"`` Fallbeil '' ilitumika kwa mara ya mwisho huko Ujerumani Magharibi mnamo 1949, huko Ujerumani Mashariki mnamo 1966.","`` Fall Beil '' ilitumika kwa mara ya mwisho huko Ujerumani Magharibi mnamo 1949, mnamo 1966 huko Ujerumani Mashariki.",1
51,Mfereji ni moja ya mifereji ya kongwe inayoweza kusongeshwa huko Uropa na Ubelgiji.,Mfereji ni moja wapo ya mifereji ya kongwe inayoweza kusongeshwa huko Ubelgiji na kwa kweli huko Uropa.,0
52,Mnamo 2009 alihamia Philadelphia na anaishi New York City leo.,Alihamia Philadelphia mnamo 2009 na sasa anaishi New York City.,1
53,"Alikufa kwa saratani ya tumbo huko Claremore, Oklahoma, New York City, ambapo Ukumbusho wa Lynn Riggs upo Juni 30, 1954.","Alikufa mnamo Juni 30, 1954, wa saratani ya tumbo huko New York City. Claremore, Oklahoma ni nyumbani kwa Ukumbusho wa Lynn Riggs.",0
55,"Stipsits alizaliwa huko Korneuburg, Ujerumani na alitumia utoto wake huko Stammersdorf, Vienna.","Stipsits alizaliwa huko Korneuburg, na alitumia utoto wake huko Stammersdorf, Vienna.",1
67,Nasaba ya Keita ilitawala Mali ya kabla na ya kifalme kutoka karne ya 12 hadi mapema karne ya 17.,"Nasaba ya Keita ilitawala Mali kutoka 12 hadi mapema karne ya 17, kabla ya kifalme na ya kifalme.",1
68,"`` Malaika Macho '' ni wimbo maarufu wa 1946 ulioundwa na Matt Dennis, na nyimbo na Earl Brent.","`` Malaika Macho '' ni wimbo maarufu ulioundwa na Earl Brent mnamo 1946, na maandishi na Matt Dennis.",0
83,Muziki huo uliandikwa na Shyam na nyimbo ziliundwa na Sreekumaran Thampi na Sathyan Anthikkad.,Muziki huo uliandikwa na Shyam na nyimbo na Sreekumaran Thampi na Sathyan Anthikkad walijumuisha.,1
