premise,choice1,choice2,question,label,idx,changed
ڈیوائس کو اندھے بیگ میں لپیٹا گیا تھا۔,ٹوٹنا آسان تھا۔,یہ چھوٹا تھا۔,cause,0,0,False
میں نے اپنے بیگ خالی چھوڑ دیئے۔,مجھے دوبارہ ٹکٹ کا ایک اور ٹکڑا ملا۔,میں نے ایک ہتھیار دیکھا۔,effect,0,1,False
چیونٹیوں نے گھر پر حملہ کیا۔,چیونٹیوں نے گھر چھوڑ دیا۔,چیونٹیوں نے گھر کے اندر لکڑی کے ذریعے کھایا۔,effect,1,2,False
مسافر سرحد پر پہنچ چکے ہیں۔,گشتی افسر نے ان کے پاسپورٹ کا معائنہ کیا۔,گشت افسر نے ان پر اسمگلنگ کا الزام لگایا۔,effect,0,3,False
دفتر بند تھا۔,یہ آرام کا دن تھا۔,یہ موسم گرما تھا۔,cause,0,4,False
لڑکی نے طاقت کھو دی۔,اس نے ڈرافٹ کھیلا۔,اس نے رسی کود لیا۔,cause,1,5,False
عورت لائن میں اپنی جگہ کھو چکی ہے۔,مزید لوگ قطار میں کھڑے ہیں۔,وہ لائن سے باہر ہو گیا۔,cause,1,6,False
اس کی ناک کو چوٹکی نہ لگائیں۔,بچہ اس کے منہ میں چھا گیا۔,بچے نے اس کا ڈایپر گندگی سے دوچار کیا۔,cause,1,7,False
بینڈ نے اپنا پسندیدہ گانا کھیلا۔,سامعین نے موسیقی کی پیروی کی۔,سامعین نے سکون اور خاموشی سے سنا۔,effect,0,8,False
لڑکی اپنے ریاضی کے استاد کا شکریہ ادا کرنا چاہتی تھی۔,لڑکی اسکول کے بعد حراست میں رہی۔,لڑکی اپنے استاد کے پاس سیب لے کر آئی۔,effect,1,9,False
چھوٹا سا کیمپ گھبراہٹ محسوس ہوا۔,ان کے کیمپ کے مشیر نے انہیں ماضی کی کہانیوں کے بارے میں بتایا۔,انہوں نے کیمپ فائر کو آگ لگائی۔,cause,0,10,False
اس شخص نے اس کے سر کو مارا۔,وہ سوچ میں کھو گیا۔,اس نے ہوش کھو دیا۔,effect,1,11,False
میں نے جو چیک لکھا ہے اسے چھوڑ دیا گیا ہے۔,میرا بینک اکاؤنٹ خالی تھا۔,مجھے تنخواہ میں اضافہ ہوا ہے۔,cause,0,12,False
