premise,choice1,choice2,question,label,idx,changed
O dispositivo estaba envolto nunha bolsa cega.,Foi fácil romper.,Era pequeno.,cause,0,0,False
Deixei as maletas baleiras.,Volvín a ter outra peza de billete.,Vin unha arma.,effect,0,1,False
As formigas invadiron a casa.,As formigas saíron da casa.,As formigas comían pola madeira dentro da casa.,effect,1,2,False
Os viaxeiros chegaron á fronteira.,O oficial de patrulla inspeccionou os seus pasaportes.,O oficial de patrullas acusounos de contrabando.,effect,0,3,False
A oficina estaba pechada.,Foi un día de descanso.,Era verán.,cause,0,4,False
A rapaza perdeu a forza.,Xogou ao borrador.,Saltou a corda.,cause,1,5,False
A muller perdeu o seu lugar na liña.,Máis xente aliñada.,Saíu da liña.,cause,1,6,False
Non pinchar o nariz.,O bebé espetou na boca.,O bebé suciou o cueiro.,cause,1,7,False
A banda interpretou a súa canción favorita.,O público aplaudiu seguindo a música.,O público escoitou con calma e silencio.,effect,0,8,False
A rapaza quixo agradecerlle ao seu profesor de matemáticas.,A rapaza permaneceu baixo custodia despois da escola.,A rapaza trouxo mazás ao seu profesor.,effect,1,9,False
O pequeno campista sentíase nervioso.,O seu conselleiro do campamento contoulles as historias de pantasmas.,Eles prenderon lume á fogueira.,cause,0,10,False
O home golpeou a cabeza.,Perdeuse no pensamento.,Perdeu a consciencia.,effect,1,11,False
O cheque que escribín foi abandonado.,A miña conta bancaria estaba baleira.,Recibín un aumento salarial.,cause,0,12,False
A caixa de entrada de correo electrónico do home está chea de spam.,Eliminou o spam.,Enviou un correo electrónico público.,effect,0,13,False
O mariñeiro estaba illado.,A ela lle diagnosticaron a enfermidade.,Recuperouse da enfermidade.,cause,0,14,False
A rapaza memorizou o código.,Memorizouno.,Esqueceu anotalo.,effect,0,15,False
Botei auga nun vaso.,A auga apagou a miña sede.,A auga estaba chea.,effect,1,16,False
O home permaneceu en silencio cando o seu amigo acabou de falar.,Quería darlle axuda ao seu amigo.,Estaba pensando nas palabras do seu amigo.,cause,1,17,False
O accidente foi culpa miña.,Sentinme culpable.,Presentei unha demanda.,effect,0,18,False
O colar estaba moi afastado.,Un colar foi envolto arredor do neumático.,Había un vínculo roto no colar.,cause,1,19,False
A parella decidiu chegar a un acordo.,Estaban cansados ​​de discutir.,Eles correron para discutir o problema.,cause,0,20,False
A muller decidiu dirixir un cargo público.,Contratou a un xestor de campañas.,Testificou no xulgado.,effect,0,21,False
O home anticipou o clima frío na súa viaxe.,Organizou roupa quente dentro da súa caixa.,Viaxou cunha caixa grande.,effect,0,22,False
O alumno sabía a resposta á pregunta.,Levantou a man.,Non lle importaba.,effect,0,23,False
Os ollos do home cheos de bágoas.,O po instalouse nos seus ollos.,Levaba lentes de sol sobre os ollos.,cause,0,24,False
O xogador gañou dez partidos seguidos.,O seu rival acusouno de fraude.,O seu rival sentíase pena por el.,effect,0,25,False
O profesor rompeu a proba do alumno.,Arrestou a un estudante por fraude.,A resposta do alumno foi incorrecta.,cause,0,26,False
Desexei deixar de falar.,Perdín a voz.,Estaba sen alento.,cause,1,27,False
Comida conxelada derretida.,Poño no microondas.,Cubrín con folla de plástico.,cause,0,28,False
O empregado forxou a picadura.,Tiña problemas de estómago.,Quería un día de descanso.,cause,1,29,False
A rapaza baixou á piscina.,Corría sobre o bordo da piscina.,Saltou dun obxectivo de mergullo.,cause,1,30,False
As entradas de películas están esgotadas.,Foi o día de lanzamento da película.,A película recibe comentarios negativos.,cause,0,31,False
O home perdeu peso.,A xente o exclúe.,A xente está encomiándoo.,effect,1,32,False
As mans da rapaza eran ampollas.,Escribiu a carta.,Montou a corda.,cause,1,33,False
O acróbata enganouse mentres andaba nunha bicicleta dun só anel.,O público animouno con sorpresa.,O acróbata colgou do balance.,effect,0,34,False
Perdín a miña paciencia.,O meu amigo fíxome agardar por el.,O meu amigo chegou a tempo.,cause,0,35,False
As nacións en guerra querían paz.,Desenvolveron armas nucleares.,Negociaron un contrato.,effect,1,36,False
O home estaba tomando pastillas para durmir.,Fíxose somnolento.,Ten febre.,effect,0,37,False
A muller foi golpeada por unha cadeira.,Abriuse a perna da cadeira.,Falou o xeonllo.,effect,1,38,False
O rapaz soprou o globo.,O cego foi curado.,O cego saltou cara arriba.,effect,0,39,False
Os viaxeiros inspeccionaron o interior da habitación do hotel.,Desempaquetaron a equipaxe.,Foron ao aeroporto.,effect,0,40,False
Morden a gripe.,Totalmente ferido.,O zume derramouse.,effect,1,41,False
A miña man estivo quedando fóra.,Comín unha rosquilla.,Teño unha deliciosa comida.,cause,0,42,False
Abrín a porta.,A porta abriuse.,A porta caeu pechada.,effect,0,43,False
Os activistas boicotearon o produto.,Os produtos foron valorados para a garantía de calidade.,Os produtos fixéronse a través do traballo infantil.,cause,1,44,False
Perforei un burato na parede.,A rata arrastrouse do burato.,O po soprou do burato.,effect,1,45,False
A muller estaba celosa da súa irmá.,A súa irmá estaba feliz.,A súa irmá estaba divorciada.,cause,0,46,False
Botei viño sobre a miña camisa.,Eu levaba un delantal.,Cambiei a miña camisa.,effect,1,47,False
O caixeiro abriu os libros de caixa.,O cliente buscou a súa carteira.,O cliente entregoulle o diñeiro.,cause,1,48,False
O músico actuando na rúa atraeu á multitude.,A xente deulle unha moeda.,Afastou a multitude.,effect,0,49,False
O pequeno chorou polo seu gardián.,Anhelaba ver aos seus pais.,Era hora de comer.,effect,0,50,True
O radar do piloto detectou unha tormenta.,O piloto retirouse da tormenta.,O piloto voou cara á tormenta.,effect,0,51,False
A árbore caeu as súas follas.,As follas cambiaron de cor.,As follas reuníronse na parte inferior.,effect,1,52,False
O rapaz estaba en estado de choque.,Decidiu xogar ás cartas coa súa irmá.,Decidiu xogar un xogo de broma coa súa irmá.,effect,1,53,False
O neno lamentou que quería ir ao baño.,O seu pai deulle unha copa e unha copa.,Papá estacionou o coche nunha gasolineira.,effect,1,54,False
O bebé pulverizou comida de peixe no tanque.,O peixe saltou do tanque.,O peixe nadou cara á comida.,effect,1,55,False
A perspectiva política da muller cambiou.,Cambiou as súas relacións de partido.,Volveuse involucrado nunha folga.,effect,0,56,False
O lavabo do aseo foi obstruído.,Acendín a billa.,Inserín un dispositivo de limpeza nel.,effect,1,57,False
Os pasaxeiros saíron do tren.,O tren chegou á estación.,O tren soprou a sirena.,cause,0,58,False
Os homes empuxaron pola á húmida.,Puxo un selo no sobre.,Pechou o sobre.,effect,1,59,False
Os amigos perderon o contacto.,Gustáronlles estar preto uns dos outros.,Trasladáronse a diferentes cidades.,cause,1,60,False
O contable non conseguiu xestionar as finanzas da compañía.,Foi eliminado da súa posición.,Ela foi de permiso de maternidade.,effect,0,61,False
Mirei o reloxo.,Oín o son do reloxo.,Quería saber a que hora era.,effect,1,62,False
A miña man doía.,Escribín o ensaio a man.,A miña muller e eu agarramos as mans.,effect,0,63,False
Komeo apertouse.,Cambiei a cucharada.,Enrolei un destornillador.,effect,1,64,False
A parella asinou un acordo de aluguer para o apartamento.,A parella mudouse a un apartamento.,O Concello demoliu a casa.,effect,0,65,False
A muller sentouse fóra no consello.,Quería ver o sol baixar.,Pensou que viu tronos.,cause,0,66,False
O home levaba un chaleco salvavidas.,Non podía nadar.,A auga era pouco profunda.,cause,0,67,False
A muller cometeu un erro dentro do procesador de texto.,Eliminou o documento.,Presionou o botón posterior.,effect,1,68,False
A rapaza presumiu ás súas amigas.,Ten unha mala nota.,Gañou o concurso.,cause,1,69,False
O xardín estaba fangoso.,Choveu pola noite.,Estaba cheo de herbas daniñas.,effect,0,70,False
A muller durmía rapidamente.,Permaneceu no hotel pola noite.,Esqueceu axustar o seu espertador.,cause,1,71,False
O home leva un protector solar.,Sentou á sombra.,Foi á praia.,cause,1,72,False
Os investigadores confirmaron a teoría.,Os investigadores desestimaron a teoría.,A xente aceptou a teoría.,effect,1,73,False
Os fans no partido ruxiron.,O encontro entrou no tempo extra.,O árbitro tomou a decisión incorrecta.,cause,1,74,False
Inserín os números secretos no bloqueo.,Bloqueei o bloqueo.,Abriuse o bloqueo.,effect,1,75,False
A multitude aumentou.,O pai deu cartos ao seu fillo.,O pai agarrou a man do seu fillo.,effect,1,76,False
O xeo bloqueara o camiño.,Recollín a neve nunha bola de neve.,Eliminei a neve do camiño.,effect,1,77,False
Os remeiros golpearon os seus remos.,O kayak aterrou na praia.,O kayak golpeou a onda.,effect,0,78,False
A moza perdeu a dirección da súa bicicleta.,Soltou o volante.,Pegouse contra a parede.,effect,1,79,False
Acendín o ventilador.,A auga derramouse na miña pel.,Sentín o aire frío pasando por min.,effect,1,80,False
Os mariñeiros do mar volveron á costa.,Estaban cheos de humidade.,Viron ao Papa.,effect,1,81,False
Tirei o tapón da billa á bañeira.,A auga fluía na conca.,Auga espallada no chan.,effect,0,82,False
O marido sentiuse culpable por insultar á súa muller.,Acusouna de deshonestidade.,Confesoulle a súa infidelidade.,effect,1,83,False
A tinta do cartel pegouse.,Agardei a secar a tinta.,Botei auga no cartel.,cause,1,84,False
O bebé espertou chorando.,Tiña un mal soño.,Fixo a cama.,cause,0,85,False
