premise,choice1,choice2,question,label,idx,changed
The device was wrapped in a blind bag.,It was easy to break down.,It was small.,cause,0,0,False
I left my bags empty.,I got another piece of ticket again.,I saw a weapon.,effect,0,1,False
Ants invaded the house.,Ants left the house.,Ants ate through the wood inside the house.,effect,1,2,False
Travelers have reached the border.,The patrol officer inspected their passports.,The patrol officer accused them of smuggling.,effect,0,3,False
The office was closed.,It was a day of rest.,It was summer.,cause,0,4,False
The girl lost strength.,He played the draft.,He jumped the rope.,cause,1,5,False
The woman has lost her place in the line.,More people lined up.,He got out of line.,cause,1,6,False
Do not pinch his nose.,The baby spat in his mouth.,The baby soiled his diaper.,cause,1,7,False
The band played their favorite song.,The audience applauded following the music.,The audience listened calmly and silently.,effect,0,8,False
The girl wanted to thank her math teacher.,The girl remained in custody after school.,The girl brought apples to her teacher.,effect,1,9,False
The little camper felt nervous.,Their camp counselor told them about ghost stories.,They set fire to the campfire.,cause,0,10,False
The man hit his head.,He got lost in thought.,He lost consciousness.,effect,1,11,False
The check I wrote has been dropped.,My bank account was empty.,I have received a salary increase.,cause,0,12,False
The man's email inbox is full of spam.,He deleted the spam.,He sent a public email.,effect,0,13,False
The sailor was isolated.,She had been diagnosed with the disease.,He has recovered from the disease.,cause,0,14,False
The girl memorized the code.,He memorized it.,He forgot to write it down.,effect,0,15,False
I poured water into a glass.,The water quenched my thirst.,The water was full.,effect,1,16,False
The man remained silent as his friend finished speaking.,He wanted to give his friend help.,He was thinking about his friend's words.,cause,1,17,False
The accident was my fault.,I felt guilty.,I filed a lawsuit.,effect,0,18,False
The necklace was far apart.,A necklace was wrapped around the tire.,There was a broken link in the necklace.,cause,1,19,False
The couple decided to come to an agreement.,They were tired of arguing.,They ran to discuss the problem.,cause,0,20,False
The woman has decided to run a public office.,He hired a campaign manager.,He testified in court.,effect,0,21,False
The man anticipated the cold weather on his journey.,She arranged warm clothes inside her box.,He traveled with a large box.,effect,0,22,False
The student knew the answer to the question.,He raised his hand.,He didn't care.,effect,0,23,False
The man's eyes filled with tears.,Dust settled in his eyes.,He wore sunglasses over his eyes.,cause,0,24,False
The player won ten games in a row.,His opponent accused him of fraud.,His opponent felt sorry for him.,effect,0,25,False
The teacher broke the student's test.,He arrested a student for fraud.,The student's response was incorrect.,cause,0,26,False
I hesitated to stop talking.,I lost my voice.,I was out of breath.,cause,1,27,False
Frozen food melted.,I put it on the microwave.,I covered it with plastic sheeting.,cause,0,28,False
The employee forged the bite.,He had stomach problems.,He wanted a day off.,cause,1,29,False
The girl went down into the pool.,He ran over the edge of the pool.,He jumped out from a diving goal.,cause,1,30,False
Movie tickets are all sold out.,It was the launch day of the film.,The film gets negative feedback.,cause,0,31,False
The man has lost weight.,People exclude him.,People are praising him.,effect,1,32,False
The girl's hands were blisters.,He typed the letter.,He rode the rope.,cause,1,33,False
The acrobat tricked while riding a single-ring bike.,The audience cheered him on in surprise.,The acrobat hung from the swing.,effect,0,34,False
I have lost my patience.,My friend made me wait for him.,My friend arrived on time.,cause,0,35,False
The warring nations wanted peace.,They developed nuclear weapons.,They negotiated a contract.,effect,1,36,False
The man was taking sleeping pills.,He has become drowsy.,He got a fever.,effect,0,37,False
The woman was hit by a chair.,The leg of the chair opened.,He hurt his knee.,effect,1,38,False
The boy blew the balloon.,The blind man was healed.,The blind man jumped up.,effect,0,39,False
Travelers inspected the inside of their hotel room.,They unpacked their luggage.,They went to the airport.,effect,0,40,False
I bit the flu.,Fully injured.,The juice was spilled.,effect,1,41,False
My hand has been sticking out.,I ate a donut.,I got a delicious meal.,cause,0,42,False
I pushed the door open.,The door opened.,The door slammed shut.,effect,0,43,False
Activists boycotted the product.,Products were rated for quality assurance.,Products were made through child labor.,cause,1,44,False
I drilled a hole in the wall.,The rat crawled out of the hole.,Dust blew from the hole.,effect,1,45,False
The woman was jealous of her sister.,Her sister was happy.,Her sister was divorced.,cause,0,46,False
I poured wine over my shirt.,I wore an apron.,I changed my shirt.,effect,1,47,False
The cashier opened the cash books.,The customer searched for his wallet.,The client handed him the money.,cause,1,48,False
The musician performing in the street attracted the crowd.,People gave him a coin.,He drove the crowd away.,effect,0,49,False
The little boy cried for his guardian.,He longed to see his parents.,It was time to eat.,effect,0,50,True
The pilot's radar detected a storm.,The pilot withdrew from the storm.,The pilot flew toward the storm.,effect,0,51,False
The tree dropped its leaves.,The leaves changed color.,The leaves gathered at the bottom.,effect,1,52,False
The boy was in a state of shock.,He decided to play cards with his sister.,He decided to play a joke game with his sister.,effect,1,53,False
The child regretted that he wanted to go to the toilet.,His father gave him a drink and a drink.,Dad parked the car at a gas station.,effect,1,54,False
The baby sprayed fish food into the tank.,The fish jumped out of the tank.,Fish swam towards food.,effect,1,55,False
The woman's political outlook changed.,He changed his party relations.,He became involved in a strike.,effect,0,56,False
The toilet sink was clogged.,I turned on the tap.,I inserted a cleaning device into it.,effect,1,57,False
